"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
14124	0.00033613
14288.7	0.00032329
14455.4	0.00031355
14624	0.00030386
14794.6	0.00029461
14967.2	0.00028561
15141.7	0.00027653
15318.4	0.00026818
15497	0.00025927
15677.8	0.00025134
15860.7	0.0002432
16045.7	0.00023525
16232.8	0.00022778
16422.2	0.00021993
16613.7	0.00021235
16807.5	0.00020545
17003.5	0.00019851
17201.9	0.00019179
17402.5	0.00018536
17605.5	0.00017903
17810.9	0.00017269
18018.6	0.00016655
18228.8	0.00016065
18441.4	0.00015487
18656.5	0.00014916
18874.1	0.00014353
19094.3	0.00013806
19317	0.00013276
19542.3	0.00012754
19770.2	0.00012241
20000.8	0.00011732
20234.1	0.00011234
20470.1	0.00010754
20708.9	0.0001028
20950.5	9.8033e-05
21194.8	9.3021e-05
21442.1	8.8517e-05
21692.2	8.4507e-05
21945.2	8.0551e-05
22201.2	7.6499e-05
22460.1	7.2584e-05
22722.1	6.8707e-05
22987.1	6.4978e-05
23255.2	6.1135e-05
23526.5	5.6976e-05
23800.9	5.3474e-05
24078.5	5.015e-05
24359.4	4.6776e-05
24643.5	4.3155e-05
24931	3.9884e-05
25221.8	3.6747e-05
25516	3.346e-05
25813.6	2.9666e-05
26114.7	2.6655e-05
26419.3	2.3815e-05
26727.4	2.0716e-05
27039.2	1.7211e-05
27354.6	1.4219e-05
27673.6	1.0736e-05
27996.4	4.7638e-06
28323	1.3933e-06
28653.3	1.2545e-06
28987.6	1.1055e-06
29325.7	9.4138e-07
29667.7	7.8594e-07
30013.8	5.8783e-07
30363.9	2.6221e-07
30718	1.7526e-07
31076.3	1.6264e-07
31438.8	1.4775e-07
31805.5	1.3556e-07
32176.5	1.2503e-07
32551.8	1.1201e-07
32931.5	1.0269e-07
33315.6	9.7186e-08
33704.2	9.1915e-08
34097.4	8.6947e-08
34495.1	8.2348e-08
34897.4	7.7508e-08
35304.5	7.3875e-08
35716.3	7.0773e-08
36132.9	6.7726e-08
36554.3	6.4889e-08
36980.7	6.2018e-08
37412.1	5.9203e-08
37848.4	5.6919e-08
38289.9	5.4642e-08
38736.5	5.2471e-08
39188.3	5.0348e-08
39645.4	4.8146e-08
40107.9	4.6332e-08
40575.7	4.447e-08
41049	4.2687e-08
41527.8	4.0866e-08
42012.2	3.9105e-08
42502.2	3.7642e-08
42998	3.6158e-08
43499.5	3.4754e-08
44006.9	3.3297e-08
44520.2	3.2011e-08
45039.5	3.0795e-08
45564.8	2.9618e-08
46096.3	2.8418e-08
46634	2.728e-08
47177.9	2.6232e-08
47728.2	2.5205e-08
48284.9	2.4186e-08
48848.1	2.3183e-08
49417.9	2.2234e-08
49994.3	2.1293e-08
50577.4	2.0371e-08
51167.4	1.9455e-08
51764.2	1.8634e-08
52368	1.7805e-08
52978.8	1.6992e-08
53596.8	1.6208e-08
54221.9	1.5481e-08
54854.4	1.4746e-08
55494.2	1.3986e-08
56141.5	1.3315e-08
56796.3	1.2655e-08
57458.8	1.197e-08
58129	1.1315e-08
58807.1	1.0749e-08
59493	1.0192e-08
60186.9	9.6183e-09
60889	9.0995e-09
61599.2	8.5688e-09
62317.7	7.9725e-09
63044.6	7.5272e-09
63779.9	7.1278e-09
64523.9	6.7233e-09
65276.5	6.3542e-09
66037.9	5.998e-09
66808.1	5.6335e-09
67587.4	5.302e-09
68375.7	4.9838e-09
69173.3	4.6419e-09
69980.1	4.3459e-09
70796.4	4.0603e-09
71622.2	3.7612e-09
72457.6	3.503e-09
73302.7	3.2422e-09
74157.8	2.9825e-09
75022.7	2.756e-09
75897.8	2.5345e-09
76783.1	2.3329e-09
77678.7	2.1389e-09
78584.8	1.9362e-09
79501.4	1.7634e-09
80428.7	1.5788e-09
81366.8	1.4108e-09
82315.9	1.2449e-09
83276.1	1.0687e-09
84247.4	9.0842e-10
85230.1	7.2765e-10
86224.2	5.7319e-10
87229.9	4.2305e-10
88247.4	3.2081e-10
89276.7	2.4313e-10
90318.1	1.7188e-10
91371.5	9.6653e-11
92437.3	2.6533e-11
93515.5	2.0427e-11
94606.3	1.8375e-11
95709.8	1.6271e-11
96826.2	1.4059e-11
97955.6	1.164e-11
99098.1	8.8126e-12
100254	4.7889e-12
101423	6.6689e-15
