"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
1454.9	5271.2
1471.87	5045.3
1489.03	4816
1506.4	4574.6
1523.97	4313.9
1541.75	3995.3
1559.73	3288
1577.92	3109.5
1596.33	3074.5
1614.95	3039.5
1633.79	3004.4
1652.84	2968.5
1672.12	2934
1691.63	2899
1711.36	2863.7
1731.32	2829.2
1751.51	2794.6
1771.94	2760.8
1792.61	2727.1
1813.52	2693.9
1834.67	2659.7
1856.07	2626.7
1877.72	2592.4
1899.63	2560
1921.78	2526.4
1944.2	2494.1
1966.88	2462.4
1989.82	2430.8
2013.03	2398.5
2036.51	2365.6
2060.26	2334.5
2084.29	2303.2
2108.6	2272.6
2133.2	2242.4
2158.08	2211.8
2183.25	2180.9
2208.72	2150.6
2234.48	2121.1
2260.55	2091.6
2286.91	2063.1
2313.59	2034.1
2340.57	2004.3
2367.87	1976
2395.49	1947.9
2423.44	1920.8
2451.7	1893.2
2480.3	1864.4
2509.23	1837.6
2538.5	1811
2568.11	1785.1
2598.06	1757.8
2628.37	1731.9
2659.02	1705.9
2690.04	1681.5
2721.42	1655.1
2753.16	1630.1
2785.27	1605.6
2817.76	1582
2850.63	1556.5
2883.88	1533.3
2917.52	1509.9
2951.55	1486.1
2985.97	1462.8
3020.8	1440.4
3056.04	1418.2
3091.68	1395
3127.74	1373.4
3164.23	1351.8
3201.14	1330.1
3238.47	1309.4
3276.25	1288.1
3314.46	1267.1
3353.12	1247.4
3392.23	1226.2
3431.8	1206.9
3471.83	1187.1
3512.33	1167.6
3553.29	1149.2
3594.74	1129.2
3636.67	1111.1
3679.09	1092.1
3722	1074.6
3765.42	1056.2
3809.34	1038.8
3853.77	1021.1
3898.72	1004.1
3944.2	986.68
3990.2	970.26
4036.74	953.09
4083.83	937.29
4131.46	920.82
4179.65	905.24
4228.4	889.31
4277.73	873.35
4327.62	858.04
4378.1	842.65
4429.17	827.33
4480.83	812.43
4533.09	797.24
4585.97	782.48
4639.46	767.97
4693.58	753.57
4748.32	739.12
4803.71	724.43
4859.74	710.19
4916.42	695.95
4973.77	681.23
5031.78	665.41
5090.47	646.9
5149.85	634.19
5209.92	623.38
5270.69	612.49
5332.17	601.57
5394.36	591.13
5457.28	580.82
5520.94	570.14
5585.33	560.13
5650.48	549.73
5716.39	539.42
5783.07	529.35
5850.52	519.41
5918.76	509.24
5987.8	499.12
6057.64	489.4
6128.3	478.82
6199.78	468.23
6272.1	459.25
6345.25	450.05
6419.27	441.28
6494.14	432.3
6569.89	423.53
6646.52	414.76
6724.05	405.58
6802.48	396.33
6881.82	386.92
6962.09	377.52
7043.3	367.45
7125.45	356.81
7208.57	344.42
7292.65	327.17
7377.71	319.23
7463.77	314.17
7550.82	309.06
7638.9	303.87
7728	298.82
7818.14	293.93
7909.33	288.93
8001.59	284.08
8094.92	279.17
8189.34	274.16
8284.86	269.43
8381.5	264.59
8479.26	259.89
8578.16	255.27
8678.22	250.45
8779.44	245.66
8881.85	241.05
8985.45	236.38
9090.26	231.68
9196.29	226.97
9303.55	221.95
9412.07	216.99
9521.85	211.5
9632.92	206.11
9745.28	202.18
9858.95	198.22
9973.94	194.47
10090.3	190.7
