"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
5520.94	0.039526
5585.33	0.038481
5650.48	0.037386
5716.39	0.036376
5783.07	0.035382
5850.52	0.034416
5918.76	0.033472
5987.8	0.0325
6057.64	0.03161
6128.3	0.030707
6199.78	0.029815
6272.1	0.028991
6345.25	0.028158
6419.27	0.027392
6494.14	0.026634
6569.89	0.025897
6646.52	0.025169
6724.05	0.024417
6802.48	0.023715
6881.82	0.023028
6962.09	0.022352
7043.3	0.021668
7125.45	0.020965
7208.57	0.020236
7292.65	0.019408
7377.71	0.018838
7463.77	0.018351
7550.82	0.017875
7638.9	0.017386
7728	0.016929
7818.14	0.016494
7909.33	0.016067
8001.59	0.015647
8094.92	0.015238
8189.34	0.014814
8284.86	0.014429
8381.5	0.014047
8479.26	0.01368
8578.16	0.013321
8678.22	0.012958
8779.44	0.012598
8881.85	0.012267
8985.45	0.011938
9090.26	0.011612
9196.29	0.011294
9303.55	0.010963
9412.07	0.010656
9521.85	0.010339
9632.92	0.01003
9745.28	0.0097606
9858.95	0.0094855
9973.94	0.0092327
10090.3	0.0089835
10208	0.0087403
10327	0.0084883
10447.5	0.0082518
10569.4	0.0080261
10692.6	0.0077995
10817.4	0.0075648
10943.5	0.0073549
11071.2	0.007151
11200.3	0.0069326
11331	0.0067322
11463.1	0.0065375
11596.8	0.0063349
11732.1	0.0061339
11868.9	0.0059264
12007.4	0.0057342
12147.4	0.0055673
12289.1	0.0054139
12432.5	0.0052459
12577.5	0.0050955
12724.2	0.0049439
12872.6	0.0047903
13022.8	0.0046452
13174.7	0.0044909
13328.3	0.0043583
13483.8	0.0042194
13641.1	0.0040917
13800.2	0.0039589
13961.2	0.0038307
14124	0.0036992
14288.7	0.0035557
14455.4	0.0034503
14624	0.0033455
14794.6	0.0032452
14967.2	0.0031475
15141.7	0.0030489
15318.4	0.002958
15497	0.0028609
15677.8	0.0027745
15860.7	0.0026855
16045.7	0.0025986
16232.8	0.0025169
16422.2	0.0024309
16613.7	0.0023476
16807.5	0.0022721
17003.5	0.0021963
17201.9	0.0021228
17402.5	0.0020524
17605.5	0.0019829
17810.9	0.0019136
18018.6	0.0018461
18228.8	0.0017813
18441.4	0.0017177
18656.5	0.0016548
18874.1	0.0015926
19094.3	0.0015324
19317	0.0014739
19542.3	0.0014163
19770.2	0.0013595
20000.8	0.0013031
20234.1	0.001248
20470.1	0.0011949
20708.9	0.0011423
20950.5	0.0010894
21194.8	0.0010335
21442.1	0.00098352
21692.2	0.00093933
21945.2	0.00089564
22201.2	0.00085086
22460.1	0.00080759
22722.1	0.0007647
22987.1	0.00072345
23255.2	0.00068089
23526.5	0.00063492
23800.9	0.00059607
24078.5	0.00055911
24359.4	0.00052156
24643.5	0.00048128
24931	0.00044486
25221.8	0.00040991
25516	0.00037326
25813.6	0.00033091
26114.7	0.00029735
26419.3	0.00026571
26727.4	0.00023117
27039.2	0.00019208
27354.6	0.00015864
27673.6	0.00011969
27996.4	5.2818e-05
28323	1.5083e-05
28653.3	1.3558e-05
28987.6	1.1918e-05
29325.7	1.0109e-05
29667.7	8.3901e-06
30013.8	6.19e-06
30363.9	2.5545e-06
30718	1.6019e-06
31076.3	1.4848e-06
31438.8	1.3423e-06
31805.5	1.2292e-06
32176.5	1.133e-06
32551.8	1.0077e-06
32931.5	9.2178e-07
33315.6	8.7571e-07
33704.2	8.2983e-07
34097.4	7.8697e-07
34495.1	7.4689e-07
34897.4	7.0288e-07
35304.5	6.7086e-07
35716.3	6.4397e-07
36132.9	6.1712e-07
36554.3	5.9193e-07
36980.7	5.6595e-07
37412.1	5.4033e-07
37848.4	5.2007e-07
38289.9	4.9966e-07
38736.5	4.8016e-07
39188.3	4.609e-07
39645.4	4.4077e-07
40107.9	4.2445e-07
40575.7	4.0756e-07
41049	3.9139e-07
41527.8	3.7468e-07
42012.2	3.5848e-07
42502.2	3.4534e-07
42998	3.3191e-07
43499.5	3.1923e-07
44006.9	3.0589e-07
44520.2	2.943e-07
45039.5	2.8338e-07
